receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,4.0,0.006545608164742589,0.125,0.13026275113224983
baseline_ls_timeavg_lmmse,4.0,0.006545608164742589,0.125,0.13026275113224983
baseline_ls_2dlmmse_lmmse,4.0,0.07804054208099842,0.375,0.25852420181035995
baseline_ddcpe_ls_lmmse,4.0,0.00422297278419137,0.0625,0.11120736785233021
upair5g_lmmse,4.0,0.0052364866132847965,0.125,0.12769818678498268
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0,0.0,0.06469128839671612
baseline_ls_timeavg_lmmse,8.0,0.0,0.0,0.06469128839671612
baseline_ls_2dlmmse_lmmse,8.0,0.011655405163764954,0.0625,0.21013697236776352
baseline_ddcpe_ls_lmmse,8.0,0.0,0.0,0.054657191038131714
upair5g_lmmse,8.0,0.0,0.0,0.0635834177955985
perfect_csi_lmmse,8.0,0.0,0.0,0.0
